"Position","Machine","First Name","Last Name","Classification","Category","Club","Time","url","distance"
"2","TT Bike","Ann","Shuttleworth","Female","Vet","Cambridge CC","00:24:43","https://www.cyclingtimetrials.org.uk/race-results/27114#anchor","10 miles"
"19","TT Bike","Adam","Fisher","Open","Vet","Cambridge CC","00:20:27","https://www.cyclingtimetrials.org.uk/race-results/27285#anchor","10 miles"
"31","TT Bike","Martin","Reynolds","Open","Vet","Cambridge CC","00:21:05","https://www.cyclingtimetrials.org.uk/race-results/27285#anchor","10 miles"
"33","TT Bike","Robert","Watson","Open","Vet","Cambridge CC","00:21:16","https://www.cyclingtimetrials.org.uk/race-results/27285#anchor","10 miles"
"63","TT Bike","Mary","Twitchett","Female","Vet","Cambridge CC","00:23:15","https://www.cyclingtimetrials.org.uk/race-results/27285#anchor","10 miles"
"77","TT Bike","Dominic","Whitehead","Open","Vet","Cambridge CC","00:25:24","https://www.cyclingtimetrials.org.uk/race-results/27285#anchor","10 miles"
"DNS(A)","TT Bike","Piotr","Zulawski","Open","Senior","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27285#anchor","10 miles"
"1","TT Bike","Piotr","Zulawski","Open","Senior","Cambridge CC","00:19:06","https://www.cyclingtimetrials.org.uk/race-results/27199#anchor","10 miles"
"3","TT Bike","Chris","Owen","Open","Senior","Cambridge CC","1:54:57","https://www.cyclingtimetrials.org.uk/race-results/26277#anchor","50 miles"
"30","TT Bike","Adam","Fisher","Open","Vet","Cambridge CC","00:21:19","https://www.cyclingtimetrials.org.uk/race-results/27138#anchor","10 miles"
"32","TT Bike","Robert","Watson","Open","Vet","Cambridge CC","00:21:30","https://www.cyclingtimetrials.org.uk/race-results/27138#anchor","10 miles"
"67","TT Bike","Mary","Twitchett","Female","Vet","Cambridge CC","00:24:08","https://www.cyclingtimetrials.org.uk/race-results/27138#anchor","10 miles"
"80","TT Bike","Ann","Shuttleworth","Female","Vet","Cambridge CC","00:25:51","https://www.cyclingtimetrials.org.uk/race-results/27138#anchor","10 miles"
"DNS","TT Bike","Chris","Dyason","Open","Vet","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27138#anchor","10 miles"
"48","TT Bike","Ann","Shuttleworth","Female","Vet","Cambridge CC","1:15:34","https://www.cyclingtimetrials.org.uk/race-results/27136#anchor","25 miles"
"1","TT Bike","Ann","Shuttleworth","Female","Vet","Cambridge CC","00:22:34","https://www.cyclingtimetrials.org.uk/race-results/27280#anchor","10 miles"
"1","TT Bike","Piotr","Zulawski","Open","Senior","Cambridge CC","00:18:05","https://www.cyclingtimetrials.org.uk/race-results/27281#anchor","10 miles"
"27","TT Bike","Adam","Fisher","Open","Vet","Cambridge CC","00:20:33","https://www.cyclingtimetrials.org.uk/race-results/27281#anchor","10 miles"
"35","TT Bike","Martin","Reynolds","Open","Vet","Cambridge CC","00:20:57","https://www.cyclingtimetrials.org.uk/race-results/27281#anchor","10 miles"
"78","TT Bike","Chris","Dyason","Open","Vet","Cambridge CC","00:23:08","https://www.cyclingtimetrials.org.uk/race-results/27281#anchor","10 miles"
"102","TT Bike","Dominic","Whitehead","Open","Vet","Cambridge CC","00:25:30","https://www.cyclingtimetrials.org.uk/race-results/27281#anchor","10 miles"
"DNS(A)","TT Bike","Robert","Watson","Open","Vet","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27281#anchor","10 miles"
"DNS(A)","Road Bike","Mike","Fishpool","Open","Vet","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27282#anchor","10 miles"
"1","TT Bike","Piotr","Zulawski","Open","Senior","Cambridge CC","00:17:44","https://www.cyclingtimetrials.org.uk/race-results/27134#anchor","10 miles"
"24","TT Bike","Martin","Reynolds","Open","Vet","Cambridge CC","00:20:39","https://www.cyclingtimetrials.org.uk/race-results/27134#anchor","10 miles"
"63","TT Bike","Mary","Twitchett","Female","Vet","Cambridge CC","00:24:33","https://www.cyclingtimetrials.org.uk/race-results/27134#anchor","10 miles"
"DNS(A)","TT Bike","Robert","Watson","Open","Vet","Cambridge CC","","https://www.cyclingtimetrials.org.uk/race-results/27134#anchor","10 miles"
"19","TT Bike","Adam","Fisher","Open","Vet","Cambridge CC","00:51:14","https://www.cyclingtimetrials.org.uk/race-results/27279#anchor","25 miles"
"75","TT Bike","Chris","Dyason","Open","Vet","Cambridge CC","00:58:03","https://www.cyclingtimetrials.org.uk/race-results/27279#anchor","25 miles"
